Source,Spreadsheet_Product,Spreadsheet_Qty,DB_Product,DB_Chingford,DB_Tonbridge,DB_Total,Match,Difference
Chingford Materials,Washboy Replacement Pod,4,Washboy Replacement Pod,4,0,0,YES,0
Chingford Materials,2 in 1 Combination Spreader,6,2 in 1 Combination Spreader,6,0,0,YES,0
Chingford Materials,Grout Spreader,5,Grout Spreader,5,0,0,YES,0
Chingford Materials,Dual Purpose Spreader,6,Dual Purpose Spreader,6,3,3,YES,0
Chingford Materials,Grout Finisher,8,Grout Finisher,8,0,0,YES,0
Chingford Materials,Tile Scribe,4,Tile Scribe,4,5,5,YES,0
Chingford Materials,Grout Rake,5,Grout Rake,5,4,4,YES,0
Chingford Materials,Sealant Remover,7,Sealant Remover,7,5,5,YES,0
Chingford Materials,Tile Remover,5,Tile Remover,5,0,0,YES,0
Chingford Materials,Grout Float,2,Grout Float,2,0,0,YES,0
Chingford Materials,10mm Hallow Cross Spacers 250 Pcs,7,10mm Hallow Cross Spacers 250 Pcs,7,0,0,YES,0
Chingford Materials,5mm Long Legged Spacers 250 Pcs,11,5mm Long Legged Spacers 250 Pcs,11,0,0,YES,0
Chingford Materials,4mm Long Legged Spacers 250 Pcs,14,4mm Long Legged Spacers 250 Pcs,14,0,0,YES,0
Chingford Materials,3mm Long Legged Spacers 250 Pcs,13,3mm Long Legged Spacers 250 Pcs,13,0,0,YES,0
Chingford Materials,3mm Long Legged Spacers 500 Pcs,5,3mm Long Legged Spacers 500 Pcs,5,0,0,YES,0
Chingford Materials,2mm Long Legged Tile Spacers 250 Pcs,6,2mm Long Legged Tile Spacers 250 Pcs,6,0,0,YES,0
Chingford Materials,2mm Long Legged Tile Spacers 500 Pcs,13,2mm Long Legged Tile Spacers 500 Pcs,13,0,-1,YES,0
Chingford Materials,1mm Long Legged Spacers 500 Pcs,17,1mm Long Legged Spacers 500 Pcs,17,0,0,YES,0
Chingford Materials,250 Pcs Tile Spacers Wedges,7,250 Pcs Tile Spacers Wedges,7,0,0,YES,0
Chingford Materials,4 in 1 Multis[acers 100Pcs,6,4 in 1 Multis[acers 100Pcs,6,0,0,YES,0
Chingford Materials,Tape Measure 10m,2,Tape Measure 10m,2,0,0,YES,0
Chingford Materials,20mm Bullnose Grinding Wheel,6,20mm Bullnose Grinding Wheel,6,0,0,YES,0
Chingford Materials,50mm Mini Diamond Cutting/Grinding Disc,5,50mm Mini Diamond Cutting/Grinding Disc,5,0,0,YES,0
Chingford Materials,Extreme Thin Blade,10,Extreme Thin Blade,10,0,1,YES,0
Chingford Materials,Cyclone Blade,21,Cyclone Blade,21,0,-1,YES,0
Chingford Materials,Turbo Diamond Blade,7,Turbo Diamond Blade,7,0,0,YES,0
Chingford Materials,M14 Chuck Adapter,10,M14 Chuck Adapter,10,0,0,YES,0
Chingford Materials,6mm M14 Diamond Drill Bit,10,NOT FOUND,N/A,N/A,N/A,NO,N/A
Chingford Materials,7mm M14 Diamond Drill Bit,11,7mm M14 Diamond Drill Bit,11,0,0,YES,0
Chingford Materials,8mm M14 Diamond Drill Bit,10,8mm M14 Diamond Drill Bit,10,0,0,YES,0
Chingford Materials,10mm M14 Diamond Drill Bit,8,10mm M14 Diamond Drill Bit,8,0,0,YES,0
Chingford Materials,18mm M14 Diamond Drill Bit,7,18mm M14 Diamond Drill Bit,7,0,0,YES,0
Chingford Materials,18mm M14 Gold Drill Bit,10,18mm M14 Gold Drill Bit,10,0,0,YES,0
Chingford Materials,20mm M14 Gold Drill Bit,8,20mm M14 Gold Drill Bit,8,0,0,YES,0
Chingford Materials,25mm M14 Gold Drill Bit,8,25mm M14 Gold Drill Bit,8,0,0,YES,0
Chingford Materials,35mm M14 Gold Drill Bit,4,35mm M14 Gold Drill Bit,4,0,0,YES,0
Chingford Materials,32mm M14 Gold Drill Bit,1,32mm M14 Gold Drill Bit,1,0,0,YES,0
Chingford Materials,45mm M14 Gold Drill Bit,5,45mm M14 Gold Drill Bit,5,0,0,YES,0
Chingford Materials,2cm Cyclone Blade,1,2cm Cyclone Blade,1,0,0,YES,0
Chingford Materials,Vacuum Suction Cup,1,Vacuum Suction Cup,1,0,-1,YES,0
Chingford Materials,DIY Tile Sponge,5,DIY Tile Sponge,5,0,0,YES,0
Chingford Materials,5m² Wall Matting,2,5m² Wall Matting,2,0,0,YES,0
Chingford Materials,5m² Floor Matting,2,5m² Floor Matting,2,0,0,YES,0
Chingford Materials,50m² Anti Fracture Membrane,1,50m² Anti Fracture Membrane,1,0,0,YES,0
Chingford Materials,20m² Waterproof Wall Matting,2,20m² Waterproof Wall Matting,2,0,0,YES,0
Chingford Materials,1200mm Heavy Duty Tile Cutter,0,1200MM HEAVY DUTY TILE CUTTER,0,0,0,YES,0
Chingford Materials,White Rubber Mallet,4,White Rubber Mallet,4,0,0,YES,0
Chingford Materials,Small Mixing Paddle,1,Small Mixing Paddle,1,1,1,YES,0
Chingford Materials,5mm Thermaboard Sealing Tape,5,5mm Thermaboard Sealing Tape,5,0,0,YES,0
Chingford Materials,152mm Wall Scraper,2,152mm Wall Scraper,2,0,-2,YES,0
Chingford Materials,6mm Adhesive Trowel,5,6mm Adhesive Trowel,5,0,0,YES,0
Chingford Materials,6mm Carbon Adhesice Trowel,3,6mm Carbon Adhesice Trowel,3,0,0,YES,0
Chingford Materials,4mm CarbonAdhesive Trowel,3,4mm CarbonAdhesive Trowel,3,0,0,YES,0
Chingford Materials,8mm Carbon Adhesive Trowel,2,8mm Carbon Adhesive Trowel,2,0,-1,YES,0
Chingford Materials,10mm Carbon Adhesive Trowel,1,10mm Carbon Adhesive Trowel,1,0,0,YES,0
Chingford Materials,12mm Carbon Adhesive Trowel,4,12mm Carbon Adhesive Trowel,4,0,0,YES,0
Chingford Materials,152mm Wall Scraper,2,152mm Wall Scraper,2,0,-2,YES,0
Chingford Materials,864mm Carpet to Tile Trim,5,864mm Carpet to Tile Trim,5,0,0,YES,0
Chingford Materials,900mm Doorway Strip,5,900mm Doorway Strip,5,0,0,YES,0
Chingford Materials,250 Pcs Levelling Wedges,7,250 Pcs Levelling Wedges,7,0,0,YES,0
Chingford Materials,100 Pcs Levelling Wedges,16,100 Pcs Levelling Wedges,4,0,-16,NO,-12
Chingford Materials,2mm Big Spin Hurricane Level Base,7,2mm Big Spin Hurricane Level Base,7,0,0,YES,0
Chingford Materials,Big Spin Hurricanr Caps 100 Pcs,8,Big Spin Hurricanr Caps 100 Pcs,8,0,0,YES,0
Chingford Materials,Big Spin Hurricanr Caps 250 Pcs,4,Big Spin Hurricanr Caps 250 Pcs,4,0,0,YES,0
Chingford Materials,1mm Levelling Spacers 250 Pcs,6,1mm Levelling Spacers 250 Pcs,6,0,0,YES,0
Chingford Materials,1mm Levelling Spacers 100 Pcs,19,1mm Levelling Spacers 100 Pcs,19,0,0,YES,0
Chingford Materials,2mm Levelling Spacers 100 Pcs,2,2mm Levelling Spacers 100 Pcs,4,0,-2,NO,2
Chingford Materials,2mm Levelling Spacers 250 Pcs,4,2mm Levelling Spacers 250 Pcs,4,0,-2,YES,0
Chingford Materials,3mm Levelling Spacers 100 Pcs,6,3mm Levelling Spacers 100 Pcs,39,0,-6,NO,33
Chingford Materials,3mm Levelling Spacers 250 Pcs,2,3mm Levelling Spacers 250 Pcs,2,0,0,YES,0
Chingford Materials,100 Extra Deep Levelling Wedges,7,100 Extra Deep Levelling Wedges,7,0,0,YES,0
Chingford Materials,Levelling Pliers,2,Levelling Pliers,2,0,0,YES,0
Chingford Materials,2mm Deep Levelling Spacers 100 Pcs,8,2mm Deep Levelling Spacers 100 Pcs,8,0,0,YES,0
Chingford Materials,3mm Levelling Spacers 100 Pcs,39,3mm Levelling Spacers 100 Pcs,39,0,-6,YES,0
Chingford Materials,2mm Levelling Spacers 100 Pcs,4,2mm Levelling Spacers 100 Pcs,4,0,-2,YES,0
Chingford Materials,100 Levelling Wedges,20,100 Levelling Wedges,20,17,17,YES,0
Chingford Materials,2mm Clips Levelling Spacers 100 Pcs,38,2mm Clips Levelling Spacers 100 Pcs,38,0,0,YES,0
Chingford Materials,50 Pcs T-Spin Box,23,50 Pcs T-Spin Box,23,0,0,YES,0
Chingford Materials,10mm Diamond Drill Core Bit,1,10mm Diamond Drill Core Bit,1,0,0,YES,0
Chingford Materials,8mm Diamond Drill Core Bit,9,8mm Diamond Drill Core Bit,9,0,0,YES,0
Chingford Materials,Top Oro Diamong Cutting Blade,4,Top Oro Diamong Cutting Blade,4,0,0,YES,0
Chingford Materials,Feel Safe 1L,7,Feel Safe 1L,7,0,0,YES,0
Chingford Materials,100 Pcs Levelling Wedges,4,100 Pcs Levelling Wedges,4,0,-16,YES,0
Chingford Materials,Cement Backer Board 60x120cm,56,Cement Backer Board 60x120cm,56,0,0,YES,0
Chingford Materials,Cement Backer Board 80x120cm,16,Cement Backer Board 80x120cm,16,0,0,YES,0
Chingford Materials,Insulation Board 60x120cm,7,Insulation Board 60x120cm,7,0,0,YES,0
Chingford Materials,A,0,A,0,0,5,YES,0
Chingford Adhesive,Ultra Clear Silicone,14,Ultra Clear Silicone,0,6,6,NO,-14
Chingford Adhesive,Ultra White Silicone,18,Ultra White Silicone,0,14,14,NO,-18
Chingford Adhesive,Ultra Jasmine Silicone,15,Ultra Jasmine Silicone,0,10,10,NO,-15
Chingford Adhesive,Ultra Limestone Silicone,10,Ultra Limestone Silicone,0,2,2,NO,-10
Chingford Adhesive,Ultra Cream Silicone,3,Ultra Cream Silicone,0,0,0,NO,-3
Chingford Adhesive,Ultra Taupe Silicone,9,Ultra Taupe Silicone,0,0,0,NO,-9
Chingford Adhesive,Ultra Silver Grey Silicone,21,Ultra Silver Grey Silicone,0,21,21,NO,-21
Chingford Adhesive,Ultra Mid Grey Sillicone,9,Ultra Mid Grey Sillicone,0,0,0,NO,-9
Chingford Adhesive,Ultra Grey Silicone,30,Ultra Grey Silicone,0,14,14,NO,-30
Chingford Adhesive,Ultra Charcoal Silicone,6,Ultra Charcoal Silicone,0,13,13,NO,-6
Chingford Adhesive,Ultra Black Silicone,1,Ultra Black Silicone,0,8,8,NO,-1
Chingford Adhesive,Ultra Ivory Silicone,23,Ultra Ivory Silicone,0,8,8,NO,-23
Chingford Adhesive,Ultra Dark Grey Silicone,6,Ultra Dark Grey Silicone,0,14,14,NO,-6
Chingford Adhesive,Ultra Grip & Grap Adhesive Tube,20,Ultra Grip & Grap Adhesive Tube,0,0,0,NO,-20
Chingford Adhesive,ProGrout Flexible Charcoal,9,ProGrout Flexible Charcoal,9,15,23,YES,0
Chingford Adhesive,ProGrout Flexible Vintage White,7,ProGrout Flexible Vintage White,7,0,7,YES,0
Chingford Adhesive,ProGrout Flexible Jasmine,9,ProGrout Flexible Jasmine,9,11,20,YES,0
Chingford Adhesive,ProGrout Flexible Limestone,10,ProGrout Flexible Limestone,0,12,12,NO,-10
Chingford Adhesive,ProGrout Flexible Mocha,13,ProGrout Flexible Mocha,13,7,20,YES,0
Chingford Adhesive,ProGrout Flexible Ivory,11,ProGrout Flexible Ivory,11,13,24,YES,0
Chingford Adhesive,ProGrout Flexible Silver Grey,8,ProGrout Flexible Silver Grey,0,10,10,NO,-8
Chingford Adhesive,ProGrout Flexible Mid Grey,14,ProGrout Flexible Mid Grey,0,30,30,NO,-14
Chingford Adhesive,ProGrout Flexible Grey,6,ProGrout Flexible Grey,0,17,17,NO,-6
Chingford Adhesive,ProGrout Flexible Taupe,15,ProGrout Flexible Taupe,15,11,26,YES,0
Chingford Adhesive,Pro Grout Flexible Almond,7,Pro Grout Flexible Almond,7,9,16,YES,0
Chingford Adhesive,ProGrout Flexible Brilliant White,9,ProGrout Flexible Brilliant White,9,10,19,YES,0
Chingford Adhesive,ProGrout Flexible Dark Grey,6,ProGrout Flexible Dark Grey,6,0,6,YES,0
Chingford Adhesive,ProGrout Flexible Black,2,ProGrout Flexible Black,2,6,6,YES,0
Chingford Adhesive,ProGrout Flexible Limestone,7,ProGrout Flexible Limestone,0,12,12,NO,-7
Chingford Adhesive,ProGrout Flexible Jasmine,6,ProGrout Flexible Jasmine,9,11,20,NO,3
Chingford Adhesive,ProGrout Flexible Silver Grey,6,ProGrout Flexible Silver Grey,0,10,10,NO,-6
Chingford Adhesive,ProGrout Flexible Mid Grey,8,ProGrout Flexible Mid Grey,0,30,30,NO,-8
Chingford Adhesive,ProGrout Flexible Grey,6,ProGrout Flexible Grey,0,17,17,NO,-6
Chingford Adhesive,ProGrout Flexible Charcoal,8,ProGrout Flexible Charcoal,9,15,23,NO,1
Chingford Adhesive,ProGrout Flexible White,6,ProGrout Flexible White,6,6,12,YES,0
Chingford Adhesive,ProGrout Epoxy Charcoal,0,ProGrout Epoxy Charcoal,0,0,3,YES,0
Chingford Adhesive,ProGrout Epoxy Grey,6,ProGrout Epoxy Grey,6,0,6,YES,0
Chingford Adhesive,ProGrout Epoxy Silver Grey,7,ProGrout Epoxy Silver Grey,7,0,7,YES,0
Chingford Adhesive,ProGrout Epoxy Jasmine,7,ProGrout Epoxy Jasmine,7,0,7,YES,0
Chingford Adhesive,ProGrout Epoxy White,4,ProGrout Epoxy White,4,0,4,YES,0
Chingford Adhesive,ProPave Primer External Tiling Slurry,22,ProPave Primer External Tiling Slurry,22,4,26,YES,0
Chingford Adhesive,ProPave Grout Natural Cashmere,5,ProPave Grout Natural Cashmere,5,0,5,YES,0
Chingford Adhesive,ProPave Grout Cosmic Black,5,ProPave Grout Cosmic Black,5,0,5,YES,0
Chingford Adhesive,ProPave Grout Storm Grey,3,ProPave Grout Storm Grey,3,0,3,YES,0
Chingford Adhesive,ProPave Grout Pebble Grey,5,ProPave Grout Pebble Grey,5,0,5,YES,0
Chingford Adhesive,ProSuper Grip Acrylic Wall Tile Adhesive,2,ProSuper Grip Acrylic Wall Tile Adhesive,2,6,8,YES,0
Chingford Adhesive,ProAqua Shield Tanking Kit,1,ProAqua Shield Tanking Kit,1,0,1,YES,0
Chingford Adhesive,ProPrimer Advanced Polymer,9,ProPrimer Advanced Polymer,9,16,25,YES,0
Chingford Adhesive,ProPrimer Advanced Polymer,7,ProPrimer Advanced Polymer,9,16,25,NO,2
Chingford Adhesive,ProClean Porcelain Tile & Stone Cleaner,3,ProClean Porcelain Tile & Stone Cleaner,3,0,3,YES,0
Chingford Adhesive,ProClean Grout Aid,3,ProClean Grout Aid,3,0,3,YES,0
Chingford Adhesive,ProClean Tile & Grout Sealer,4,ProClean Tile & Grout Sealer,4,0,4,YES,0
Chingford Adhesive,ProClean Easy Clean Tile Protector,4,ProClean Easy Clean Tile Protector,4,0,4,YES,0
Chingford Adhesive,ProClean Resin Off,2,ProClean Resin Off,2,0,2,YES,0
Chingford Adhesive,ProClean Grout Haze Remover,2,ProClean Grout Haze Remover,2,0,2,YES,0
Chingford Adhesive,ProLevel Fibre Reinforced Flexible Leveller,39,ProLevel Fibre Reinforced Flexible Leveller,39,0,39,YES,0
Chingford Adhesive,ProFlex SP Rapid/Flexible Adhesive S1 Grey (Blue Bag),13,ProFlex SP Rapid/Flexible Adhesive S1 Grey (Blue Bag),13,20,33,YES,0
Chingford Adhesive,ProFlex SP Rapid/Flexible Adhesive S1 White (Blue Bag),6,ProFlex SP Rapid/Flexible Adhesive S1 White (Blue Bag),6,40,46,YES,0
Chingford Adhesive,ProEco Gel Thixotropic Flexible S1White,5,ProEco Gel Thixotropic Flexible S1White,5,0,5,YES,0
Chingford Adhesive,ProGrip FX Fibre Reinforced semi/Rapid S1 White (Light Blue Bag),2,ProGrip FX Fibre Reinforced semi/Rapid S1 White (Light Blue Bag),2,0,2,YES,0
Chingford Adhesive,ProGrip FX Fibre Reinforced semi/Rapid S1 Grey (Light Blue Bag),34,ProGrip FX Fibre Reinforced semi/Rapid S1 Grey (Light Blue Bag),34,0,34,YES,0
Chingford Adhesive,ProSS Flexible Standard Set C2 Grey (Red Bag),54,ProSS Flexible Standard Set C2 Grey (Red Bag),54,28,77,YES,0
Chingford Adhesive,ProSS Flexible Standard Set C2 White (Red Bag),54,ProSS Flexible Standard Set C2 White (Red Bag),54,79,133,YES,0
Chingford Adhesive,ProRapid RS Flexible Rapid Set C2 Grey (Yellow Bag),61,ProRapid RS Flexible Rapid Set C2 Grey (Yellow Bag),61,56,107,YES,0
Chingford Adhesive,ProRapid RS Flexible Rapid Set C2 White (Yellow Bag),52,ProRapid RS Flexible Rapid Set C2 White (Yellow Bag),52,54,96,YES,0
Chingford Adhesive,ProFlex Spes Standard Set Flexible S1 Grey (Pink Bag),97,ProFlex Spes Standard Set Flexible S1 Grey (Pink Bag),97,27,124,YES,0
Chingford Adhesive,ProFlex Spes Standard Set Flexible S1 White (Pink Bag),46,ProFlex Spes Standard Set Flexible S1 White (Pink Bag),46,26,72,YES,0
Chingford Adhesive,ProFlex S2 Fibre Reinforced Adhesiv Grey (Green Bag),0,ProFlex S2 Fibre Reinforced Adhesiv Grey (Green Bag),0,12,12,YES,0
Chingford Adhesive,ProFlex S2 Fibre Reinforced Adhesiv White (Green Bag),0,ProFlex S2 Fibre Reinforced Adhesiv White (Green Bag),0,8,8,YES,0
Chingford Trims,Brushed Brass Effect (8mm),33,Brushed Brass Effect,87,0,54,NO,54
Chingford Trims,Brushed Brass Effect (10mm),33,Brushed Brass Effect,87,0,54,NO,54
Chingford Trims,Brushed Brass Effect (12mm),21,Brushed Brass Effect,87,0,54,NO,66
Chingford Trims,Polished Brass Effect (8mm),22,Polished Brass Effect,72,0,55,NO,50
Chingford Trims,Polished Brass Effect (10mm),33,Polished Brass Effect,72,0,55,NO,39
Chingford Trims,Polished Brass Effect (12mm),17,Polished Brass Effect,72,0,55,NO,55
Chingford Trims,Black Brushed (8mm),19,Black Brushed,68,0,49,NO,49
Chingford Trims,Black Brushed (10mm),23,Black Brushed,68,0,49,NO,45
Chingford Trims,Black Brushed (12mm),26,Black Brushed,68,0,49,NO,42
Chingford Trims,Brushed Chrome Aluminium (8mm),58,Brushed Chrome Aluminium,150,0,92,NO,92
Chingford Trims,Brushed Chrome Aluminium (10mm),50,Brushed Chrome Aluminium,150,0,92,NO,100
Chingford Trims,Brushed Chrome Aluminium (12mm),42,Brushed Chrome Aluminium,150,0,92,NO,108
Chingford Trims,Gloss Black Effect (10mm),16,Gloss Black Effect,38,0,22,NO,22
Chingford Trims,Gloss Black Effect (12mm),22,Gloss Black Effect,38,0,22,NO,16
Chingford Trims,Standard (12mm),28,Standard,28,0,0,YES,0
Chingford Trims,Brushed Copper (12mm),13,Brushed Copper,13,0,0,YES,0
Chingford Trims,Chrome Aluminium (8mm),31,Chrome Aluminium,104,0,79,NO,73
Chingford Trims,Chrome Aluminium (10mm),48,Chrome Aluminium,104,0,79,NO,56
Chingford Trims,Chrome Aluminium (12mm),25,Chrome Aluminium,104,0,79,NO,79
Chingford Trims,Limestone Effect (10mm),24,Limestone Effect,51,0,27,NO,27
Chingford Trims,Limestone Effect (12mm),27,Limestone Effect,51,0,27,NO,24
Chingford Trims,Sandstone Effect (12mm),22,Sandstone Effect,41,0,19,NO,19
Chingford Trims,Sandstone Effect (10mm),19,Sandstone Effect,41,0,19,NO,22
Chingford Trims,Brushed Stainless Steel (8mm),33,Brushed Stainless Steel,54,0,21,NO,21
Chingford Trims,Brushed Stainless Steel (10mm),21,Brushed Stainless Steel,54,0,21,NO,33
Chingford Trims,Smooth White (8mm),15,Smooth White,37,0,22,NO,22
Chingford Trims,Smooth White (10mm),22,Smooth White,37,0,22,NO,15
Chingford Trims,Matt Brushed Gold (12mm),8,Matt Brushed Gold,8,0,0,YES,0
Chingford Trims,Brushed Gold (12mm),16,Brushed Gold,16,0,0,YES,0
Chingford Trims,Smooth light Grey (8mm),27,Smooth light Grey,44,0,11,NO,17
Chingford Trims,Smooth light Grey (10mm),11,Smooth light Grey,44,0,11,NO,33
Chingford Trims,Smooth light Grey (12mm),6,Smooth light Grey,44,0,11,NO,38
Chingford Trims,Smooth Black (12mm),13,Smooth Black,13,0,0,YES,0
Chingford Trims,Brush Glossy Black (10mm),5,Brush Glossy Black,5,0,0,YES,0
Chingford Trims,White Marble Metel (10mm),7,White Marble Metel,7,0,0,YES,0
Chingford Trims,Midnight Black (10mm),5,Midnight Black,5,0,0,YES,0
Chingford Trims,Black Trade (8mm),15,Black Trade,15,0,0,YES,0
Chingford Trims,Grey Square (8mm),7,Grey Square,7,0,0,YES,0
